diary_no,Judgement_type,case_no,pet,res,pet_adv,res_adv,bench,judgement_by,judgment_dates,temp_link
5-2021,J,MA-000083 - 2021,UNION OF INDIA,ASSOCIATION OF UNIFIED TELECOM SERVICEPROVIDERS OF INDIA AND  ORS,B. VIJAYALAKSHMI MENON,,"HON'BLE MR. JUSTICE L. NAGESWARA RAO, HON'BLE MR. JUSTICE S. ABDUL NAZEER, HON'BLE MR. JUSTICE M.R. SHAH",HON'BLE MR. JUSTICE L. NAGESWARA RAO,23-07-2021,supremecourt/2021/5/5_2021_36_1501_28814_Judgement_23-Jul-2021.pdf
28-2021,J,C.A. No.-000867-000867 - 2021,INDEX MEDICAL COLLEGE HOSPITAL AND RESEARCH CENTER,THE STATE OF MADHYA PRADESH,NISHIT AGRAWAL,,"HON'BLE MR. JUSTICE L. NAGESWARA RAO, HON'BLE MS. JUSTICE INDIRA BANERJEE",HON'BLE MR. JUSTICE L. NAGESWARA RAO,03-02-2021,supremecourt/2021/28/28_2021_38_14_25922_Judgement_03-Feb-2021.pdf
70-2020,J,Crl.A. No.-000167-000167 - 2021,ARCHANA RANA,THE STATE OF UTTAR PRADESH,SANJEEV MALHOTRA,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE M.R. SHAH",HON'BLE THE CHIEF JUSTICE,01-03-2021,supremecourt/2020/70/70_2020_36_1503_26554_Judgement_01-Mar-2021.pdf
82-2021,J,SLP(C) No.-000811 - 2021,THE EMPLOYEES STATE INSURANCE CORPORATION,M/S. TEXMO INDUSTRIES,MRIDULA RAY BHARADWAJ,,"HON'BLE MS. JUSTICE INDIRA BANERJEE, HON'BLE MR. JUSTICE HRISHIKESH ROY",HON'BLE MS. JUSTICE INDIRA BANERJEE,08-03-2021,supremecourt/2021/82/82_2021_43_13_26745_Judgement_08-Mar-2021.pdf
114-2021,J,C.A. No.-000390-000390 - 2021,KALOJI NARAYANA RAO UNIVERSITY OF HEALTH SCIENCES,SRIKEERTI REDDI PINGLE,VENKAT PALWAI LAW ASSOCIATES,,"HON'BLE MR. JUSTICE L. NAGESWARA RAO, HON'BLE MR. JUSTICE S. RAVINDRA BHAT",HON'BLE MR. JUSTICE S. RAVINDRA BHAT,16-02-2021,supremecourt/2021/114/114_2021_38_1501_26229_Judgement_16-Feb-2021.pdf
128-2018,J,C.A. No.-007639-007639 - 2021,IL AND FS ENGINEERING AND CONSTRUCTIONS COMPANY LTD.,M/S BHARGAVARAMA CONSTRUCTIONS,VISHNU SHANKAR JAIN,,"HON'BLE MR. JUSTICE M.R. SHAH, HON'BLE MR. JUSTICE SANJIV KHANNA",HON'BLE MR. JUSTICE M.R. SHAH,16-12-2021,supremecourt/2018/128/128_2018_13_1502_32143_Judgement_16-Dec-2021.pdf
138-2017,J,C.A. No.-007554-007554 - 2021,MAHESH KUMAR AGARWAL (DEAD) BY LRS,NARESH CHANDRA .,ASHOK MATHUR,,"HON'BLE MR. JUSTICE K.M. JOSEPH, HON'BLE MR. JUSTICE PAMIDIGHANTAM SRI NARASIMHA",HON'BLE MR. JUSTICE K.M. JOSEPH,08-12-2021,supremecourt/2017/138/138_2017_10_3_31963_Judgement_08-Dec-2021.pdf
140-2021,J,Crl.A. No.-001288-001288 - 2021,PRADEEP S. WODEYAR,THE STATE OF KARNATAKA,LAWYER S KNIT & CO,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE A.S. BOPANNA",HON'BLE THE CHIEF JUSTICE,29-11-2021,supremecourt/2021/140/140_2021_34_1501_31724_Judgement_29-Nov-2021.pdf
195-2021,J,C.A. No.-000995-000995 - 2021,"GOVERNMENT OF MAHARASHTRA, (WATER RESOURCES DEPARTMENT)",M/S BORSE BROTHERS ENGINEERS AND CONTRACTORS PVT. LTD.,SANDEEP SUDHAKAR DESHMUKH,,"HON'BLE MR. JUSTICE ROHINTON FALI NARIMAN, HON'BLE MR. JUSTICE B.R. GAVAI, HON'BLE MR. JUSTICE HRISHIKESH ROY",HON'BLE MR. JUSTICE ROHINTON FALI NARIMAN,19-03-2021,supremecourt/2021/195/195_2021_33_1501_27050_Judgement_19-Mar-2021.pdf
210-2020,J,C.A. No.-006251-006251 - 2021,STATE OF U.P.,SHYAM LAL JAISWAL,PRADEEP MISRA,,"HON'BLE MR. JUSTICE AJAY RASTOGI, HON'BLE MR. JUSTICE ABHAY S. OKA",HON'BLE MR. JUSTICE AJAY RASTOGI,07-10-2021,supremecourt/2020/210/210_2020_44_10_30663_Judgement_07-Oct-2021.pdf
